year,annual_mean_c,annual_stationday_txk_max_c,annual_stationday_txk_p95_c,station_day_count,source_station_files,station_days_over_35c,unique_dates_over_35c,station_days_over_40c,unique_dates_over_40c,station_days_over_41c,unique_dates_over_41c,station_days_over_42c,unique_dates_over_42c
1906,8.29,34.7,26.3,23052,64,0.0,0,0.0,0,0.0,0,0.0,0
1907,7.8,33.6,25.0,23129,65,0.0,0,0.0,0,0.0,0,0.0,0
1908,7.47,35.2,26.15,24071,67,2.0,1,0.0,0,0.0,0,0.0,0
1909,7.35,33.3,24.2,23841,66,0.0,0,0.0,0,0.0,0,0.0,0
1910,8.41,32.8,25.0,23978,66,0.0,0,0.0,0,0.0,0,0.0,0
1911,9.05,38.0,29.5,23689,65,61.0,15,0.0,0,0.0,0,0.0,0
1912,7.86,33.9,25.4,23998,66,0.0,0,0.0,0,0.0,0,0.0,0
1913,8.53,32.0,25.1,23968,66,0.0,0,0.0,0,0.0,0,0.0,0
1914,8.52,33.8,26.7,22618,62,0.0,0,0.0,0,0.0,0,0.0,0
1915,7.91,36.2,25.6,22603,63,3.0,2,0.0,0,0.0,0,0.0,0
1916,8.45,31.0,24.1,21860,60,0.0,0,0.0,0,0.0,0,0.0,0
1917,7.54,35.4,27.0,21418,60,2.0,2,0.0,0,0.0,0,0.0,0
1918,8.53,37.6,25.0,21756,60,3.0,1,0.0,0,0.0,0,0.0,0
1919,7.32,34.7,26.0,21249,59,0.0,0,0.0,0,0.0,0,0.0,0
1920,8.63,36.2,25.4,20291,58,2.0,1,0.0,0,0.0,0,0.0,0
1921,9.0,38.9,28.0,20528,57,58.0,9,0.0,0,0.0,0,0.0,0
1922,7.19,37.0,25.4,20777,58,16.0,3,0.0,0,0.0,0,0.0,0
1923,7.99,38.8,26.2,20295,60,22.0,3,0.0,0,0.0,0,0.0,0
1924,7.53,34.7,25.0,21504,61,0.0,0,0.0,0,0.0,0,0.0,0
1925,8.32,36.1,25.9,21190,61,6.0,3,0.0,0,0.0,0,0.0,0
1926,8.74,33.5,25.2,22052,63,0.0,0,0.0,0,0.0,0,0.0,0
1927,8.04,33.9,25.4,23654,66,0.0,0,0.0,0,0.0,0,0.0,0
1928,8.35,38.9,26.0,24564,68,19.0,4,0.0,0,0.0,0,0.0,0
1929,7.36,36.7,27.3,24352,67,9.0,5,0.0,0,0.0,0,0.0,0
1930,8.76,34.9,25.9,25328,70,0.0,0,0.0,0,0.0,0,0.0,0
1931,7.55,34.6,26.0,24817,70,0.0,0,0.0,0,0.0,0,0.0,0
1932,8.33,37.4,27.5,25668,72,30.0,4,0.0,0,0.0,0,0.0,0
1933,7.62,35.5,25.5,26304,73,5.0,2,0.0,0,0.0,0,0.0,0
1934,9.54,34.6,27.0,26968,75,0.0,0,0.0,0,0.0,0,0.0,0
1935,8.42,36.6,27.2,30419,89,3.0,2,0.0,0,0.0,0,0.0,0
1936,8.38,35.3,25.5,48548,138,1.0,1,0.0,0,0.0,0,0.0,0
1937,8.59,36.3,26.9,56464,159,17.0,3,0.0,0,0.0,0,0.0,0
1938,8.6,35.4,26.8,58581,162,2.0,2,0.0,0,0.0,0,0.0,0
1939,8.3,35.4,26.4,56056,159,1.0,1,0.0,0,0.0,0,0.0,0
1940,6.63,32.4,25.1,58450,162,0.0,0,0.0,0,0.0,0,0.0,0
1941,7.16,37.0,25.8,53257,150,3.0,3,0.0,0,0.0,0,0.0,0
1942,7.28,34.7,26.5,54077,150,0.0,0,0.0,0,0.0,0,0.0,0
1943,8.88,38.9,26.8,59701,170,206.0,9,0.0,0,0.0,0,0.0,0
1944,8.29,38.5,27.2,57617,162,42.0,6,0.0,0,0.0,0,0.0,0
1945,8.98,35.0,26.8,28201,129,0.0,0,0.0,0,0.0,0,0.0,0
1946,8.38,37.1,25.9,49165,156,11.0,3,0.0,0,0.0,0,0.0,0
1947,8.51,39.4,30.5,108956,319,358.0,32,0.0,0,0.0,0,0.0,0
1948,9.05,36.3,26.3,135165,383,4.0,4,0.0,0,0.0,0,0.0,0
1949,9.14,39.0,27.5,155111,434,49.0,5,0.0,0,0.0,0,0.0,0
1950,8.6,36.3,27.1,156162,435,28.0,4,0.0,0,0.0,0,0.0,0
1951,8.72,35.2,26.1,183544,509,1.0,1,0.0,0,0.0,0,0.0,0
1952,7.94,39.6,27.1,191886,533,461.0,11,0.0,0,0.0,0,0.0,0
1953,8.94,36.0,27.0,197317,551,3.0,3,0.0,0,0.0,0,0.0,0
1954,7.7,35.4,24.8,199970,553,3.0,1,0.0,0,0.0,0,0.0,0
1955,7.54,34.4,25.2,201941,561,0.0,0,0.0,0,0.0,0,0.0,0
1956,6.84,33.0,24.2,204472,563,0.0,0,0.0,0,0.0,0,0.0,0
1957,8.58,39.3,26.0,204315,567,517.0,7,0.0,0,0.0,0,0.0,0
