period_start,period_end,period,years,mean_annual_mean_c,mean_stationday_txk_p95_c,max_stationday_txk_c,total_unique_dates_over_35c,total_station_days_over_35c,total_unique_dates_over_40c,total_station_days_over_40c,total_unique_dates_over_41c,total_station_days_over_41c,total_unique_dates_over_42c,total_station_days_over_42c,mean_annual_mean_anomaly_c,mean_stationday_txk_p95_anomaly_c
1906,1915,1906-15,10,8.12,25.9,38.0,18,66.0,0,0.0,0,0.0,0,0.0,-0.56,-0.96
1916,1925,1916-25,10,8.05,25.8,38.9,22,109.0,0,0.0,0,0.0,0,0.0,-0.63,-1.06
1926,1935,1926-35,10,8.27,26.3,38.9,17,66.0,0,0.0,0,0.0,0,0.0,-0.41,-0.56
1936,1945,1936-45,10,8.11,26.38,38.9,25,272.0,0,0.0,0,0.0,0,0.0,-0.57,-0.48
1946,1955,1946-55,10,8.45,26.75,39.6,64,918.0,0,0.0,0,0.0,0,0.0,-0.23,-0.11
1956,1965,1956-65,10,7.99,25.79,39.3,29,1139.0,0,0.0,0,0.0,0,0.0,-0.69,-1.07
1966,1975,1966-75,10,8.32,26.31,37.9,16,152.0,0,0.0,0,0.0,0,0.0,-0.36,-0.55
1976,1985,1976-85,10,8.18,26.11,40.0,33,801.0,0,0.0,0,0.0,0,0.0,-0.5,-0.75
1986,1995,1986-95,10,8.82,27.07,39.3,49,1221.0,0,0.0,0,0.0,0,0.0,0.14,0.21
1996,2005,1996-05,10,9.04,27.39,40.2,56,2329.0,3,4.0,0,0.0,0,0.0,0.36,0.53
2006,2015,2006-15,10,9.36,27.71,40.3,75,3347.0,2,3.0,0,0.0,0,0.0,0.68,0.85
2016,2025,2016-25,10,10.15,28.65,41.2,101,4722.0,3,20.0,1,3.0,0,0.0,1.47,1.79
